dir	RunInd	Encode	length	fil1	fil2	ReadNber
141	111020_0145_D070RACXX_2_SA-PE-011	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_2_SA-PE-011_1.sanfastq.gz	111020_0145_D070RACXX_2_SA-PE-011_2.sanfastq.gz	38392270
16	110802_0249_D0CM0ABXX_1_SA-PE-001	Illumina 1.5	101	110802_0249_D0CM0ABXX_1_SA-PE-001_1.solfastq.gz	110802_0249_D0CM0ABXX_1_SA-PE-001_2.solfastq.gz	26074376
167	111012_0263_C03GTACXX_1_SA-PE-004	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_1_SA-PE-004_1.sanfastq.gz	111012_0263_C03GTACXX_1_SA-PE-004_2.sanfastq.gz	25882826
171	111012_0263_C03GTACXX_1_SA-PE-005	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_1_SA-PE-005_1.sanfastq.gz	111012_0263_C03GTACXX_1_SA-PE-005_2.sanfastq.gz	17757120
174	111012_0263_C03GTACXX_1_SA-PE-006	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_1_SA-PE-006_1.sanfastq.gz	111012_0263_C03GTACXX_1_SA-PE-006_2.sanfastq.gz	22384380
192	111020_0145_D070RACXX_5_SA-PE-002	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_5_SA-PE-002_1.sanfastq.gz	111020_0145_D070RACXX_5_SA-PE-002_2.sanfastq.gz	37122216
193	111020_0145_D070RACXX_5_SA-PE-003	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_5_SA-PE-003_1.sanfastq.gz	111020_0145_D070RACXX_5_SA-PE-003_2.sanfastq.gz	30589980
198	111214_0267_D067GACXX_1_SA-PE-019	Sanger / Illumina 1.9	101	111214_0267_D067GACXX_1_SA-PE-019_1.sanfastq.gz	111214_0267_D067GACXX_1_SA-PE-019_2.sanfastq.gz	35211512
204	111020_0145_D070RACXX_2_SA-PE-012	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_2_SA-PE-012_1.sanfastq.gz	111020_0145_D070RACXX_2_SA-PE-012_2.sanfastq.gz	30527612
205	110418_0015_707VLAAXX_1_SA-PE-008	Illumina 1.5	75	110418_0015_707VLAAXX_1_SA-PE-008_1.solfastq.gz	110418_0015_707VLAAXX_1_SA-PE-008_2.solfastq.gz	5345292
206	110418_0015_707VLAAXX_1_SA-PE-009	Illumina 1.5	75	110418_0015_707VLAAXX_1_SA-PE-009_1.solfastq.gz	110418_0015_707VLAAXX_1_SA-PE-009_2.solfastq.gz	5083272
207	111020_0145_D070RACXX_3_SA-PE-001	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_3_SA-PE-001_1.sanfastq.gz	111020_0145_D070RACXX_3_SA-PE-001_2.sanfastq.gz	30553672
209	111020_0145_D070RACXX_3_SA-PE-002	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_3_SA-PE-002_1.sanfastq.gz	111020_0145_D070RACXX_3_SA-PE-002_2.sanfastq.gz	20394828
210	110418_0015_707VLAAXX_1_SA-PE-010	Illumina 1.5	75	110418_0015_707VLAAXX_1_SA-PE-010_1.solfastq.gz	110418_0015_707VLAAXX_1_SA-PE-010_2.solfastq.gz	4387062
21	110418_0015_707VLAAXX_1_SA-PE-005	Illumina 1.5	75	110418_0015_707VLAAXX_1_SA-PE-005_1.solfastq.gz	110418_0015_707VLAAXX_1_SA-PE-005_2.solfastq.gz	6688612
211	110418_0015_707VLAAXX_1_SA-PE-011	Illumina 1.5	75	110418_0015_707VLAAXX_1_SA-PE-011_1.solfastq.gz	110418_0015_707VLAAXX_1_SA-PE-011_2.solfastq.gz	5752266
212	111020_0145_D070RACXX_3_SA-PE-003	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_3_SA-PE-003_1.sanfastq.gz	111020_0145_D070RACXX_3_SA-PE-003_2.sanfastq.gz	19165766
214	110418_0015_707VLAAXX_1_SA-PE-012	Illumina 1.5	75	110418_0015_707VLAAXX_1_SA-PE-012_1.solfastq.gz	110418_0015_707VLAAXX_1_SA-PE-012_2.solfastq.gz	6029966
221	111020_0145_D070RACXX_3_SA-PE-004	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_3_SA-PE-004_1.sanfastq.gz	111020_0145_D070RACXX_3_SA-PE-004_2.sanfastq.gz	23824336
239	111012_0263_C03GTACXX_2_SA-PE-012	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_2_SA-PE-012_1.sanfastq.gz	111012_0263_C03GTACXX_2_SA-PE-012_2.sanfastq.gz	31838252
243	111012_0263_C03GTACXX_3_SA-PE-001	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_3_SA-PE-001_1.sanfastq.gz	111012_0263_C03GTACXX_3_SA-PE-001_2.sanfastq.gz	31233720
