""	"Cytisus"	"Lathyrus"	"L.corn."	"L.ped."	"Medicago"	"Ononis"	"Pisum"	"Trifolium"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"Gr_g42_3_1"	"0.0031"	"0.0421"	"0.0037"	"0.0022"	"0.0039"	"0.0046"	"0.0046"	"0.0031"	"0.0073"	"0.4793"
"Gr_g73_5_1"	"0.0028"	"0.0439"	"0.0036"	"0.0032"	"0.0039"	"0.0035"	"0.004"	"0.0028"	"0.0075"	"0.4791"
"PMT_20_1_1"	"0.0192"	"3e-04"	"0.0035"	"0.0068"	"0.001"	"0.0013"	"0.0071"	"0.008"	"0.0046"	"0.4774"
"Or_g20_1_5"	"0.0028"	"9e-04"	"0.0045"	"5e-04"	"0"	"0.0215"	"0.0252"	"-0.0018"	"0.0048"	"0.4708"
"PMT_19_1_1"	"0.0195"	"3e-04"	"0.0031"	"0.0078"	"0.001"	"0.0015"	"0.0064"	"0.0083"	"0.0047"	"0.4655"
"Control_g132_1_1"	"0.0041"	"0.0353"	"0.0036"	"0.0037"	"8e-04"	"0.0031"	"0.0048"	"0.0022"	"0.006"	"0.4638"
"Control_g190_4_2"	"0.0017"	"0.0011"	"8e-04"	"0.0058"	"9e-04"	"0.0069"	"0.0076"	"0.0161"	"0.0054"	"0.4584"
"PMT_403_1_1"	"0.0064"	"2e-04"	"0.004"	"3e-04"	"0.0081"	"-6e-04"	"0.0076"	"0.0078"	"0.0047"	"0.4577"
"Gr_g67_3_1"	"0.0035"	"0.0431"	"0.0032"	"0.0026"	"0.0036"	"0.0028"	"0.0034"	"0.0026"	"0.007"	"0.4537"
"PMT_21_1_1"	"0.019"	"1e-04"	"0.0029"	"0.0065"	"0.001"	"0.0015"	"0.0077"	"0.007"	"0.0045"	"0.4504"
"Or_g21_2_1"	"8e-04"	"4e-04"	"0.004"	"4e-04"	"-0.0011"	"0.015"	"0.0313"	"0.0024"	"0.0047"	"0.4494"
"PMT_402_1_1"	"0.0085"	"1e-04"	"0.0045"	"3e-04"	"0.0086"	"-2e-04"	"0.009"	"0.0066"	"0.005"	"0.4464"
"Control_g155_2_1"	"0.0014"	"1e-04"	"0.0018"	"0.0021"	"0.004"	"8e-04"	"0.0041"	"0.0168"	"0.0048"	"0.4429"
"Or_g54_1_12"	"0.0036"	"0.0398"	"0.0034"	"0.0024"	"0.0033"	"0.0032"	"0.0034"	"0.0026"	"0.0066"	"0.4385"
"Control_g154_2_5"	"0.0023"	"3e-04"	"0.002"	"0.0021"	"0.004"	"7e-04"	"0.0042"	"0.0165"	"0.0049"	"0.431"
"Control_g49_4_3"	"0.0024"	"0.0287"	"0.0059"	"0.003"	"0.0023"	"-0.0022"	"0.0036"	"0.0026"	"0.0051"	"0.4197"
"PMT_260_1_1"	"0.0372"	"0"	"0.004"	"0.001"	"0.0016"	"6e-04"	"0.0016"	"9e-04"	"0.003"	"0.4125"
"PMT_258_1_1"	"0.0327"	"1e-04"	"0.0039"	"9e-04"	"0.0016"	"8e-04"	"0.0012"	"9e-04"	"0.0029"	"0.4046"
"PMT_259_1_1"	"0.0327"	"2e-04"	"0.0028"	"0.001"	"0.0019"	"2e-04"	"9e-04"	"0.001"	"0.0027"	"0.3925"
"PMT_502_1_1"	"0.0019"	"4e-04"	"0.0021"	"0.0018"	"0.0024"	"0.0167"	"0.0027"	"0.0013"	"0.0033"	"0.3835"
