""	"Cytisus"	"Lathyrus"	"L.corn."	"L.ped."	"Medicago"	"Ononis"	"Pisum"	"Trifolium"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"P450_g14_9_2"	"0.0021"	"1e-04"	"0.0018"	"0.0042"	"0.0028"	"0.0014"	"0.0045"	"0.0024"	"0.0025"	"0.2083"
"Control_g190_4_2"	"1e-04"	"1e-04"	"2e-04"	"0.0026"	"8e-04"	"0.0028"	"0.0037"	"0.0063"	"0.0022"	"0.2081"
"PMT_502_1_1"	"0.001"	"0"	"0.0014"	"8e-04"	"0.0012"	"0.0086"	"0.0013"	"8e-04"	"0.0018"	"0.208"
"Gr_g60_2_3"	"0.0021"	"0.0169"	"0.0018"	"3e-04"	"0.0016"	"0.0016"	"0.0018"	"9e-04"	"0.0029"	"0.2079"
"PMT_258_1_1"	"0.0196"	"1e-04"	"0.0016"	"4e-04"	"5e-04"	"3e-04"	"7e-04"	"5e-04"	"0.0015"	"0.2078"
"PMT_235_1_1"	"0.0016"	"0.0177"	"0.0019"	"0.0013"	"0.0017"	"0.0011"	"0.0025"	"8e-04"	"0.0031"	"0.2077"
"PMT_249_1_1"	"8e-04"	"2e-04"	"0.0011"	"0.001"	"0.0013"	"0.0078"	"0.0017"	"5e-04"	"0.0017"	"0.2065"
"P450_g11_4_4"	"0.001"	"0.0194"	"0.0018"	"0.0012"	"0.0017"	"0.0012"	"0.0017"	"0.0013"	"0.0033"	"0.2052"
"P450_g11_5_2"	"0.0012"	"0.019"	"0.0021"	"0.0014"	"0.0016"	"0.0017"	"0.0017"	"0.0013"	"0.0034"	"0.2045"
"Control_g82_17_3"	"0.0023"	"0.0035"	"0.0053"	"0.0016"	"0.0027"	"0.0016"	"0.0022"	"0.002"	"0.0026"	"0.2032"
"PMT_501_1_1"	"0.0015"	"3e-04"	"0.001"	"6e-04"	"0.0013"	"0.0079"	"0.001"	"0.001"	"0.0017"	"0.2031"
"Gr_g76_5_2"	"0.0018"	"0.0187"	"0.0018"	"0.0013"	"0.0012"	"0.0018"	"0.0014"	"0.0011"	"0.0031"	"0.2026"
"Gr_g76_1_1"	"0.0013"	"0.018"	"0.0015"	"0.0012"	"0.002"	"0.0021"	"0.0011"	"0.0011"	"0.0032"	"0.2025"
"P450_g14_7_2"	"0.0011"	"0"	"0.002"	"0.0033"	"0.0027"	"9e-04"	"0.0063"	"0.0017"	"0.0023"	"0.2023"
"Gr_g73_4_1"	"0.0013"	"0.0183"	"0.0014"	"0.001"	"0.0016"	"0.002"	"0.0015"	"0.0012"	"0.0031"	"0.201"
"P450_g14_6_2"	"-0.001"	"0"	"0.0021"	"0.0041"	"0.0022"	"0.0012"	"0.0045"	"0.0017"	"0.0022"	"0.1985"
"Gr_g33_3_2"	"0.0168"	"0"	"0.0018"	"-3e-04"	"9e-04"	"6e-04"	"-1e-04"	"6e-04"	"0.0013"	"0.1984"
"PMT_500_1_1"	"0.001"	"0"	"9e-04"	"8e-04"	"0.001"	"0.0085"	"0.001"	"5e-04"	"0.0016"	"0.1983"
"Control_g86_5_3"	"0.0014"	"0.0179"	"0.0014"	"0.001"	"0.0015"	"0.0015"	"0.0016"	"9e-04"	"0.003"	"0.1976"
"Control_g154_1_1"	"7e-04"	"1e-04"	"0.0012"	"8e-04"	"0.0015"	"3e-04"	"0.0019"	"0.0062"	"0.0019"	"0.1965"
"P450_g11_2_2"	"8e-04"	"0.0172"	"0.0014"	"0.002"	"0.0015"	"0.0013"	"0.0017"	"0.0012"	"0.0031"	"0.1952"
"Gr_g31_1_5"	"7e-04"	"1e-04"	"7e-04"	"9e-04"	"9e-04"	"0.0073"	"9e-04"	"7e-04"	"0.0014"	"0.1935"
"Control_g49_4_3"	"0.0013"	"0.0138"	"0.0023"	"0.0014"	"0.0011"	"-0.0015"	"0.0013"	"0.0011"	"0.0022"	"0.1934"
"PMT_594_1_1"	"0.0023"	"0"	"0.0151"	"0"	"0.0014"	"0.0018"	"0.0032"	"-0.001"	"0.0022"	"0.1932"
"Control_g49_1_1"	"0.0021"	"0.0138"	"0.0024"	"0.0012"	"0.0011"	"-0.0011"	"0.0024"	"0.0013"	"0.0025"	"0.1888"
"P450_g39_2_4"	"0.0024"	"0.0016"	"0.006"	"2e-04"	"0"	"0.0013"	"0.007"	"2e-04"	"0.0017"	"0.1864"
"Or_g7_1_13"	"0.0014"	"6e-04"	"0.0012"	"0.0022"	"0.0065"	"-1e-04"	"0.0062"	"3e-04"	"0.0028"	"0.1857"
"Gr_g33_1_2"	"0.0187"	"0"	"0.0011"	"3e-04"	"7e-04"	"4e-04"	"3e-04"	"3e-04"	"0.0013"	"0.1847"
"Control_g188_6_3"	"0.0156"	"0"	"3e-04"	"9e-04"	"0.0025"	"0.0026"	"0.0028"	"0.0017"	"0.0023"	"0.1832"
"PMT_499_1_1"	"0.0012"	"1e-04"	"0.0011"	"0.0011"	"0.001"	"0.0078"	"0.0014"	"7e-04"	"0.0016"	"0.1824"
"PMT_260_1_1"	"0.0172"	"0"	"0.0017"	"4e-04"	"5e-04"	"2e-04"	"6e-04"	"6e-04"	"0.0014"	"0.1807"
"P450_g39_4_2"	"0.0035"	"0.0017"	"0.0055"	"0"	"9e-04"	"0.001"	"0.0078"	"4e-04"	"0.0019"	"0.1798"
"PMT_377_1_1"	"-4e-04"	"1e-04"	"6e-04"	"0.0043"	"0.0011"	"4e-04"	"0.0011"	"0.0013"	"0.0013"	"0.1796"
"Control_g86_7_4"	"0.0017"	"0.017"	"0.0015"	"0.0014"	"0.0014"	"0.0017"	"8e-04"	"0.0011"	"0.0029"	"0.1795"
"Control_g86_3_2"	"8e-04"	"0.0169"	"0.0015"	"8e-04"	"0.0014"	"0.0015"	"0.0013"	"9e-04"	"0.0027"	"0.1792"
"PMT_358_1_1"	"0.0013"	"0.0154"	"0.0014"	"9e-04"	"0.0014"	"0.001"	"0.0011"	"7e-04"	"0.0025"	"0.1773"
"Control_g188_9_1"	"0.015"	"0"	"-4e-04"	"4e-04"	"0.0027"	"0.0019"	"0.0025"	"0.0016"	"0.002"	"0.1757"
"P450_g15_9_1"	"0.0013"	"0"	"0.001"	"0.0036"	"0.0013"	"0.0015"	"0.0037"	"0.0022"	"0.0019"	"0.1741"
"Control_g49_5_1"	"0.001"	"0.0119"	"0.0019"	"0.0014"	"0.001"	"-0.0013"	"0.0016"	"7e-04"	"0.0021"	"0.1692"
